TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,KATEGORI ITEM,ITEM,QTY,SATUAN,HARGA
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing SCV,1,gross,"19,500"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Resleting JP YEE,1,lusin,"21,000"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Scotlight,1,roll,"100,000"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Perekat,1,roll,"28,500"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting Jaket Lion,1,lusin,"36,000"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting CFC,1,lusin,"15,550"
22/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Gt Dexlan,1,biji,"17,500"
16/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing,1,gross,"35,000"
13/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting CFC,1,lusin,"16,000"
13/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting Lion,1,lusin,"36,000"
09/12/2025,Sinar Surya,Bahan Baku Utama,Kain Jet Black,1,pcs,"28,500"
09/12/2025,UD. Menang Kancing Surabaya,Bahan Baku Utama,Kain Jet Black Wool Peach,1,m,"28,500"
09/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing Hias,1,pack,"40,000"
09/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Resleting JP YEE 10,1,lusin,"17,500"
08/12/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing Lili,1,gross,"32,500"
04/12/2025,Toko Konveksi (KF),Bahan Pendukung,Retsleting Jepang,1,lusin,"20,000"
03/12/2025,Toko Meme,Bahan Pendukung,Benang Jahit Putra,1,lusin,"19,000"
03/12/2025,Toko Meme,Bahan Pendukung,Kancing Mutiara,1,gross,"21,000"
03/12/2025,Toko Meme,Bahan Pendukung,Karet Elastic,1,roll,"33,000"
25/11/2025,Toko Konveksi (KF),Bahan Pendukung,Scotlight Rompi,1,roll,"55,000"
22/11/2025,Flores Jaya,Bahan Baku Utama,Kain Jala Mesh Biru,1,m,"75,000"
21/11/2025,Toko Bahan Textile Trijaya,Bahan Baku Utama,Kain Union,1,yard,"28,000"
19/11/2025,CV. Mimi Fashion,Bahan Baku Utama,Kain Jala Fashion,1,kg,"62,000"
18/11/2025,Bintang Mas,Bahan Pendukung,Scotlight Wajik,1,roll,"60,000"
13/11/2025,Nurakaci Store,Bahan Baku Utama,Kain Jala Double Mesh Orange,1,m,"47,000"
13/11/2025,Nurakaci Store,Bahan Baku Utama,Kain Jala Double Mesh Biru,1,m,"47,000"
13/11/2025,Nurakaci Store,Bahan Baku Utama,Kain Jala Double Mesh Merah,1,m,"47,000"
17/09/2025,UD. Karunia Sejahtera,Bahan Baku Utama,Kain TRM,1,m,"21,000"
01/09/2025,Bintang Mas,Bahan Baku Utama,Kain Keras TK,1,roll,"425,000"
23/08/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Benang Yamalon,1,lusin,"18,000"
23/08/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting,1,lusin,"7,000"
22/08/2025,Toko Kain Hongkong,Bahan Baku Utama,Kain Toyobo,1,m,"25,000"
12/08/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing,1,gross,"10,000"
24/07/2025,PT. Knitto Tekstil Indonesia,Bahan Pendukung,Manset CVC Pique 24s - Abu Muda,0.46,lg,"51,980"
23/07/2025,PT. Knitto Tekstil Indonesia,Bahan Baku Utama,CVC Pique Hexagon 24s - Abu Muda,1,kg,"107,000"
23/07/2025,PT. Knitto Tekstil Indonesia,Bahan Baku Utama,CVC Pique Hexagon 24s - Putih Bluish,1,kg,"102,000"
23/07/2025,PT. Knitto Tekstil Indonesia,Bahan Pendukung,Krah CVC Pique 24s - Abu Muda,0.69,kg,"77,970"
19/07/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting,1,lusin,"16,650"
18/07/2025,Toko Konveksi (KF),Bahan Pendukung,Kancing,1,gross,"38,500"
17/07/2025,Sinar Surya,Bahan Baku Utama,TC Olive Pramuka,1,roll,"1,050,000"
08/07/25,Toko Bahan Textile Trijaya,Bahan Baku Utama,Kain Japan Dril,1,yard,"35,000"
04/07/2025,Sinar Surya,Bahan Baku Utama,Kain American Macan,1,m,"26,000"
01/07/2025,PT Knitto Tekstil Indonesia,Bahan Baku Utama,Kain Commbed 24s Navy,1,kg,"109,000"
01/07/2025,PT Knitto Tekstil Indonesia,Bahan Baku Utama,Kain Commbed 24s Mustard,1,kg,"106,000"
01/07/2025,PT. Knitto Tekstil Indonesia,Bahan Pendukung,Krah CVC Pique 24s - Abu Muda,1,kg,"124,000"
25/06/2025,PT. Domivatex Lestari Abadi,Bahan Baku Utama,Kain Pablo Escobar,1,yard,"20,000"
25/06/2025,PT. Domivatex Lestari Abadi,Bahan Baku Utama,Kain Toyobo,1,yard,"16,500"
19/06/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing BK,1,mass,"49,500"
19/06/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Hak Talon GBL,1,dus,"38,500"
17/06/2025,Sinar Surya,Bahan Baku Utama,TC Olive Putih,1,roll,"1,550,000"
05/06/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing Polisi Besar,1,gross,"41,500"
22/05/2025,Toko Konveksi (KF),Bahan Baku Utama,Kain Kapas Kuralon,1,roll,"167,500"
22/05/2025,Toko Konveksi (KF),Bahan Baku Utama,Kain Furing,1,roll,"477,500"
22/05/2025,Toko Konveksi (KF),Bahan Pendukung,Hak Talon Polos,1,doss,"35,000"
22/05/2025,Toko Konveksi (KF),Bahan Pendukung,Retsleting GPO,1,lusin,"28,000"
15/05/2025,Toko Konveksi (KF),Bahan Baku Utama,Kain Keras Megatop,1,roll,"467,500"
15/05/2025,Toko Konveksi (KF),Bahan Pendukung,Karet P12 A Putih,1,kg,"46,000"
15/05/2025,Toko Konveksi (KF),Bahan Pendukung,Kancing CSS 33 (30),1,lusin,"41,500"
03/05/2025,Cahaya Surabaya,Bahan Baku Utama,Kain Lurik,1,m,"48,000"
03/05/2025,UD. Karunia Sejahtera,Bahan Baku Utama,Kain Toyobo Premium,1,roll,"1,350,000"
24/04/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Resleting JP YEE,1,pcs,"4,200"
23/04/2025,Toko Kain Sutratex,Bahan Baku Utama,Kain Centini,1,m,"30,000"
22/04/2025,MM,Bahan Pendukung,Kancing,1,gross,"21,000"
22/04/2025,MM,Bahan Pendukung,Tali Karet KT,1,roll,"14,000"
22/04/2025,MM,Bahan Pendukung,Benang Jahit Putra,1,lusin,"19,000"
16/04/2025,Esteva Indonesia,Bahan Baku Utama,Kain Milano,1,roll,"1,215,000"
12/03/2025,Subur Jaya Lumintu,Bahan Pendukung,HS Putih,1,kg,"55,000"
12/03/2025,UB. Intisari Jaya,Bahan Pendukung,Selang Bening,1,m,"4,000"
04/03/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing Safari,1,gross,"16,500"
03/03/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Retsleting,1,pcs,"2,500"
15/02/2025,CV.  Prima berkah sejati,ATK,Buku Nota,1,pcs,"6,200"
04/02/2025,Jaya Santosa,ATK,Kran Air Soligen,1,pcs,"43,000"
03/02/2025,UD. Menang Kancing Surabaya,Bahan Pendukung,Kancing Celana,1,gross,"10,000"
03/02/2025,UD. Aries Jaya,ATK,Lampu,1,set,"156,000"
03/02/2025,Toko Enny Nur,ATK,Baterai ABC Alkaline,1,pack,"14,000"
03/02/2025,Toko Kertas Sari Agung,ATK,Kertas HVS 70 Gr,1,lembar,"3,500"
23/04/2024,Toko Kain Sutratex,Bahan Baku Utama,Kain Satin,1,m,"30,000"